id,name,lat,lng,popularity,tags,description
1,Taytay Falls,14.1152742,121.5001628,Very High,"nature,waterfall,swimming","A refreshing waterfall with cool, crystal-clear waters surrounded by lush forest, perfect for swimming and relaxing in nature.",
2,Bukal (Kilangin) Falls,14.103759,121.4697418,Very High,"nature,waterfall,adventure,hiking","Known as a hidden paradise, this falls requires a scenic hike and rewards visitors with pristine waters and a peaceful escape.",
3,Sprite Falls,14.145500791217328,121.4938456324438,High,"nature,waterfall,adventure,hiking","A small but charming waterfall ideal for hikers seeking a less crowded spot close to Majayjay's forests.",
4,Dalitiwan Stream / Resort,14.1470,121.4917,High,"nature,relax,swimming,garden","A nature-themed resort featuring streams, swimming spots, and gardens, perfect for family picnics and relaxation.",
5,Minor Basilica of St. Gregory the Great (Majayjay Church),14.146559615012109,121.47127557615893,Very High,"history,culture,religion,architecture","A centuries-old Spanish colonial church, admired for its baroque architecture and cultural heritage.",
6,Costales Nature Farm,14.134788,121.5037838,High,"nature,farm,agri,organic","The Philippines’ leading agri-tourism destination promoting organic farming and farm-to-table experiences.",
7,Mount Banahaw–San Cristobal Protected Landscape,14.104836,121.485047,Very High,"nature,forest,spiritual,hiking","A sacred mountain with rich biodiversity, popular for trekking, spiritual pilgrimages, and eco-adventures.",
8,APA Farms & Leisure,14.13754233301495,121.46226369278503,Moderate,"nature,animal,farm,agri","A leisure farm where guests can enjoy nature, interact with farm animals, and learn sustainable farming.",
9,Resort River Front,14.134505,121.4504595,Moderate,"nature","A riverside escape offering fresh air, cool waters, and a laid-back atmosphere for weekend getaways.",
10,AIDA AURORA NATURES FARM,14.137864287160463,121.48358156594759,Moderate,"nature,farm","A peaceful nature farm that promotes organic farming, with green surroundings ideal for relaxation.",
11,La Triccias Resort Hotel Events and Restaurant,14.139773659342843,121.50162771159245,Moderate,"restaurant","A resort and events venue with modern amenities and a restaurant that serves local and international cuisine.",
12,Samkara Restaurant and Garden Resort,14.133451759124187,121.51700650936334,Moderate,"restaurant","A rustic restaurant and resort surrounded by lush gardens, known for its traditional Filipino dishes.",
13,Malinao Resort,14.13313978446695,121.5167068255135,Moderate,"resort,nature","A tranquil resort with access to natural streams and cottages for relaxation.",
14,Valencia Transient House & Events Place,14.133503927115198,121.51602018000905,Low,"resort","A budget-friendly lodging and events space for families and groups.",
15,Bern's La Bistro,14.145455880247939,121.47181347017539,Moderate,"restaurant","A cozy bistro offering comfort food and local favorites in the heart of Majayjay.",
16,Jabella,14.145318037243909,121.47185697175341,Moderate,"restaurant","A local eatery serving affordable and freshly prepared home-style meals.",
17,D' Brews Delight,14.145689195398573,121.47180593651628,Moderate,"coffee","A small coffee shop perfect for quick caffeine fixes and casual meetups.",
18,Arnoks Special Fried chicken,14.144125851215247,121.47082541139275,Moderate,"restaurant","A popular local spot known for its crispy and flavorful fried chicken.",
19,Daddy Mark,14.14377505517545,121.4708447451187,Moderate,"restaurant","A casual dining place serving hearty meals at affordable prices.",
20,Ceria's Kitchenette,14.144360318151316,121.47381303815102,Moderate,"restaurant","A homestyle kitchenette with budget-friendly meals and a friendly neighborhood vibe.",
21,A & G,14.147524220853688,121.47034898405377,Moderate,"restaurant","A family-run restaurant offering Filipino favorites and snacks.",
22,Bertos Place,14.142176796834315,121.46683126693142,Moderate,"restaurant","A laid-back dining spot known for local comfort food and casual gatherings.",
23,Ate Ganda's Kainan Lugaw Mami and more,14.146496229967127,121.47607214753903,Moderate,"restaurant","A favorite local eatery for affordable lugaw, mami, and other comfort dishes.",
24,Papa Mong's Kitchen,14.146485826493958,121.47564299407875,Moderate,"restaurant","Serving local specialties and homemade-style meals in a welcoming setting.",
25,Kusina ni Isa,14.147638444473696,121.48027342339692,Moderate,"restaurant","A homey restaurant offering classic Filipino meals in generous portions.",
26,RedDoorz @ Hilarion's Farm Majayjay Laguna,14.148401032148344,121.4878192499106,Low,"motel","A budget-friendly lodging option surrounded by nature, perfect for overnight stays.",
27,Mathew Amir Event Place,14.14976053823442,121.49375485585918,Moderate,"resort,farm","A scenic venue for gatherings and events with natural farm surroundings.",
28,APA Wildlife Rescue and Conservation Park,14.137511889516713,121.46366111165885,Moderate,"nature,farm","A conservation site that houses rescued animals and promotes wildlife education.",
29,Vin Fruit Soda,14.138164163469508,121.46583154900081,Moderate,"coffee","A quirky café offering refreshing fruit sodas and light snacks.",
30,Sun and Moon Cafe + Bistro,14.13806507917069,121.4669300255957,Moderate,"coffee","A charming café with a mix of modern bistro meals and specialty drinks.",
31,Cafe Aliana,14.145844916206347,121.47472346871758,Moderate,"coffee","A cozy coffee shop perfect for hangouts and casual study sessions.",
32,Brew Very,14.142964842795338,121.47115065427798,Moderate,"coffee","A small café serving specialty coffee and pastries.",
33,Teaspot Majayjay,14.144815969077587,121.47232734427006,Moderate,"coffee","A tea-focused café offering milk teas and light snacks.",
34,Mokadrip,14.14709578802461,121.4698946693663,Moderate,"coffee","A modern café known for its hand-dripped coffee and quiet ambiance.",
35,Scenic View Resort Hotel Bar & Restaurant,14.144746814165995,121.47586847249481,High,"hotel,restaurant","A full-service resort with panoramic views, hotel accommodations, and a restaurant-bar.",
36,Puente del Capricho (Tulay Pige),14.146207108400557,121.46678373155898,Moderate,"history","A historic stone bridge that showcases Spanish-era architecture, a favorite photo spot.",
37,Nuestra Señora del Pilar Parish,14.17324783678129,121.44648331728054,Moderate,"religion","A parish church serving as a spiritual and community hub in Majayjay.",
38,BrewVery Suba,14.17343507715797,121.44560355272029,Moderate,"coffee","A cozy extension of Brew Very café offering coffee and snacks in Suba.",
39,Rural Bites,14.134906822010295,121.44977955953806,Moderate,"restaurant","A local restaurant serving home-style Filipino dishes with a rural charm.",
40,Paradise FarmFresh (formerly TFF Pizza Paradise),14.131735803839486,121.45184710741303,Moderate,"restaurant","A farm-to-table restaurant formerly known for pizza, now serving fresh produce-inspired meals.",
41,Mangulila Twin Falls,14.14418318789362,121.49574517409476,High,"nature,waterfall","A pair of waterfalls offering a scenic escape for nature lovers and adventurers.",
42,Carmela rose rest house,14.116204500588674,121.50504280787243,Low,"lodge","A quiet rest house ideal for small groups seeking peace and privacy near nature.",
43,Taytay Falls VMDS LODGING HOUSE,14.115247251639987,121.50504280787243,Low,"lodge","An affordable lodging house near Taytay Falls, convenient for overnight travelers.",
44,Sir Louie Lodging House,14.114900015300986,121.50357197500789,Low,"lodge","A budget lodging option with basic amenities close to Majayjay attractions.",
45,Kyla's inn,14.11525356866409,121.50427577876788,Low,"lodge","A small inn providing budget-friendly accommodations for backpackers and groups.",
46,SBH Amakan in Taytay Falls,14.11499852434172,121.50245855346347,Low,"lodge","Rustic amakan-style lodging for visitors who want a native and affordable stay.",
47,SMALL BROTHER HOUSE IN TAYTAY FALLS,14.114795628445409,121.50475452438107,Low,"lodge","Simple and affordable lodging option close to Taytay Falls, perfect for hikers.",